name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Burguesinha                                                                                                                                                                      ,0.682,0.949,-5.401,0.0421,0.563,0.00403,0.337,0.96,101.976,258187,4
Mina Do Condomínio                                                                                                                                                               ,0.676,0.868,-4.313,0.0322,0.594,0.0,0.0967,0.966,95.988,400627,4
Alma Não Tem Cor                                                                                                                                                                 ,0.648,0.477,-6.834,0.231,0.601,0.0,0.045,0.372,80.73,244114,23
Homens                                                                                                                                                                           ,0.745,0.447,-12.111,0.0523,0.792,0.000518,0.0916,0.974,150.021,198427,9
Se eu quiser falar com Deus - Ao vivo                                                                                                                                            ,0.658,0.259,-13.141,0.0705,0.694,5.87e-05,0.975,0.306,110.376,256213,28
Aquele Abraço                                                                                                                                                                    ,0.446,0.793,-4.746,0.115,0.14,0.0,0.573,0.901,86.313,323773,14
Aquele abraço - Ao vivo                                                                                                                                                          ,0.739,0.74,-9.442,0.1,0.347,5.24e-06,0.706,0.791,94.516,263907,14
Maria Bethânia                                                                                                                                                                   ,0.621,0.471,-13.784,0.202,0.754,0.0177,0.102,0.674,129.53,412600,29
Maria Bethânia                                                                                                                                                                   ,0.62,0.484,-13.554,0.179,0.837,0.356,0.0992,0.637,130.611,415040,29
Sampa                                                                                                                                                                            ,0.703,0.278,-11.32,0.0662,0.543,0.0,0.146,0.623,114.322,199667,29
O Ciúme - Remixed Original Album                                                                                                                                                 ,0.586,0.209,-11.684,0.0272,0.304,1.17e-05,0.1,0.147,96.407,346467,26
Lindeza                                                                                                                                                                          ,0.524,0.102,-19.062,0.0382,0.885,0.163,0.115,0.14,82.715,247507,3
Get Out Of Town                                                                                                                                                                  ,0.662,0.124,-15.647,0.0614,0.937,0.00124,0.104,0.15,108.069,233640,3
